"Regional","SP","NOME DA RODOVIA","KM","CIDADE","LATITUDE","LONGITUDE","QTDE CÂMERAS","CÂMERA 1","CÂMERA 2"
"DR 01","8","Pedro Astenori Marigliani","95","Bragança Paulista","-22,925583","-46,552909","1","IMAGEM CÂMERA","--"
"DR 06","46","Oswaldo Barbosa Oliveira","167","Santo Antonio do Pinhal","-22,830483","-45,625271","1","IMAGEM CÂMERA","--"
"DR 06","55","Doutor Manoel Hypollito Rego","55","Ubatuba","-23,472165","-45,067035","1","IMAGEM CÂMERA","--"
"DR 06","55","Doutor Manoel Hypollito Rego","73","Ubatuba","-23,518264","-45,20068","1","IMAGEM CÂMERA","--"
"DR 06","55","Doutor Manoel Hypollito Rego","83,5","Caraguatatuba","-23,566315","-45,279329","1","IMAGEM CÂMERA","--"
"DR 06","55","Doutor Manoel Hypollito Rego","93","Caraguatatuba","-23,601393","-45,344917","2","IMAGEM CÂMERA","CÂMERA OPERACIONAL DE USO RESTRITO "
"DR 06","55","Doutor Manoel Hypollito Rego","111","Caraguatatuba","-23,697992","-45,439534","2","IMAGEM CÂMERA","IMAGEM CÂMERA 2"
"DR 05","55","Doutor Manoel Hypollito Rego","136","São Sebastião","-23,818631","-45,456495","1","IMAGEM CÂMERA","--"
"DR 05","55","Doutor Manoel Hypollito Rego","168","São Sebastião","-23,76329","-45,655829","1","IMAGEM CÂMERA","--"
"DR 05","55","Doutor Manoel Hypollito Rego","192","Bertioga","-23,756624","-45,853579","1","CÂMERA OPERACIONAL DE USO RESTRITO ","--"
"DR 05","55","Doutor Manoel Hypollito Rego","193","Bertioga","-23,757808","-45,864328","2","IMAGEM CÂMERA","CÂMERA OPERACIONAL DE USO RESTRITO "
"DR 05","55","Doutor Manoel Hypollito Rego","211","Bertioga","-23,787145","-46,026994","2","IMAGEM CÂMERA","IMAGEM CÂMERA 2"
"DR 01","63","Alkindar Monteiro Junqueira","28","Itatiba","-22,977144","-46,771025","1","IMAGEM CÂMERA","--"
"DR 06","123","Floriano Rodrigues Pinheiro","8","Taubaté","-22,991794","-45,64512","1","IMAGEM CÂMERA","--"
"DR 06","123","Floriano Rodrigues Pinheiro","26,5","Pindamonhangaba","-22,863958","-45,60252","2","IMAGEM CÂMERA","IMAGEM CÂMERA 2"
"DR 06","123","Floriano Rodrigues Pinheiro","31","Pindamonhangaba","-22,846142","-45,615561","2","IMAGEM CÂMERA","IMAGEM CÂMERA 2"
"DR 06","123","Floriano Rodrigues Pinheiro","33","Santo Antonio do Pinhal","-22,83032","-45,624869","2","IMAGEM CÂMERA","IMAGEM CÂMERA 2"
"DR 06","123","Floriano Rodrigues Pinheiro","46","Campos do Jordão","-22,756122","-45,610237","2","IMAGEM CÂMERA","CÂMERA OPERACIONAL DE USO RESTRITO "
"DR 06","125","Oswaldo Cruz","14","Taubaté","-23,1403","-45,499333","1","IMAGEM CÂMERA","--"
"DR 06","125","Oswaldo Cruz","22","Taubaté","-23,191243","-45,458897","1","IMAGEM CÂMERA","--"
"DR 06","125","Oswaldo Cruz","42","São Luiz do Paraitinga","-23,22821","-45,313948","1","IMAGEM CÂMERA","--"
"DR 06","125","Oswaldo Cruz","67","São Luiz do Paraitinga","-23,359811","-45,202682","1","IMAGEM CÂMERA","--"
"DR 06","125","Oswaldo Cruz","81","Ubatuba","-23,366344","-45,125468","1","IMAGEM CÂMERA","--"
"DR 06","125","Oswaldo Cruz","88","Ubatuba","-23,407034","-45,117302","2","IMAGEM CÂMERA","CÂMERA OPERACIONAL DE USO RESTRITO "
"DR 06","125","Oswaldo Cruz","93","Ubatuba","-23,437404","-45,096348","2","IMAGEM CÂMERA","IMAGEM CÂMERA 2"
"DR1 3","304","Luiz de Queiroz","157","Piracicaba","-22,722413","-47,59989","1","IMAGEM CÂMERA","--"
"DR 01","324","Miguel Melhado Campos","81","Itupeva","-23,056634","-47,041296","2","IMAGEM CÂMERA","CÂMERA OPERACIONAL DE USO RESTRITO "
"DR 01","354","Edgar Máximo Zambotto","75,4","Jarinú","-23,079262","-46,700743","1","IMAGEM CÂMERA","--"
"DR 01","360","Engenheiro Constâncio Cintra","110","Amparo","-22,841037","-46,773706","1","IMAGEM CÂMERA","--"
